Plot_ID,vol_cubft,ba_ac,crd,elev_min_3p2808plus_75FEET,elev_max_3p2808plus_75FEET,elev_ave_3p2808plus_75FEET,elev_stddev_3p2808plus_75FEET,elev_CV_3p2808plus_75FEET,elev_IQ_3p2808plus_75FEET,elev_AAD_3p2808plus_75FEET,elev_P01_3p2808plus_75FEET,elev_P05_3p2808plus_75FEET,elev_P10_3p2808plus_75FEET,elev_P20_3p2808plus_75FEET,elev_P25_3p2808plus_75FEET,elev_P30_3p2808plus_75FEET,elev_P40_3p2808plus_75FEET,elev_P50_3p2808plus_75FEET,elev_P60_3p2808plus_75FEET,elev_P70_3p2808plus_75FEET,elev_P75_3p2808plus_75FEET,elev_P80_3p2808plus_75FEET,elev_P90_3p2808plus_75FEET,elev_P95_3p2808plus_75FEET,elev_P99_3p2808plus_75FEET,First_cover_above6p5616_75FEET,all_cover_above6p5616_75FEET,all_1st_cover_above6p5616_75FEET,First_cover_above_mean_75FEET,all_cover_above_mean_75FEET,all_1st_cover_above_mean_75FEET
101_17,31857.8,629.0755774,102.0895911,3.34,260.66,165.9852,56.6162,0.3411,62.4,43.5239,8.9954,30.5065,88.287,125.79,142.575,153.799,168,180.465,191.66,201.726,204.975,208.476,223.571,236.22,251.5451,99.136,98.8083,140.1578,71.7881,61.5731,87.3403
102_03,42792.4,705.6998961,139.9279231,3.39,247.61,149.0922,70.738,0.4745,106.44,60.5388,6.3816,15.64,35.43,55.524,97.94,123.286,154.124,177.19,192.968,200.978,204.38,208.13,220.376,229.478,240.77,99.8319,95.7571,181.3109,77.042,60.1456,113.8824
102_16,24647.4,701.3579532,133.3410787,3.29,238.88,135.1545,67.1062,0.4965,123.1075,60.3088,4.9224,25.873,49.65,68.098,77.4875,86.007,102.26,145.84,166.88,191.508,200.595,207.354,219.761,226.057,233.8441,98.3465,94.4315,167.6542,61.867,49.7672,88.3569
102_14,12836,335.4662503,60.25089025,3.31,257.25,132.9661,75.3341,0.5666,128.68,66.4318,4.51,11.03,19.43,52.5,66.77,83.495,110.26,146.715,172.52,186.41,195.45,206.52,227.995,240.55,251.7075,98.7152,92.2335,171.9058,62.8266,50.3447,93.833
91_30,17244,375.8138999,61.0550776,3.41,257.13,152.453,49.9541,0.3277,72.21,40.1239,7.514,80.16,94.26,113.26,118.87,124.83,135.8,148.02,160.63,173.85,191.08,206.35,224.49,236.07,245.166,86.5964,84.572,120.5321,44.2771,38.6756,55.1205
101_18,30706.4,591.5675785,120.057578,3.39,246.22,163.7977,52.3723,0.3197,62.8175,41.604,24.7889,45.181,84.624,115.196,138.865,150.678,166.758,180.52,187.52,196.291,201.6825,206.11,216.687,225.8,239.2937,99.9215,98.0633,176.8642,77.7669,60.7224,109.5173
103_05,12003.2,331.5279147,66.09060596,3.3,267.88,115.935,81.1934,0.7003,137.86,70.1537,5.65,9.38,12.88,27.082,36.86,45.516,85.202,116.05,137.678,161.75,174.72,205.76,238.614,249.098,264.3104,89.9669,90.2302,144.6758,48.036,46.0153,73.7814
43_22,4812.8,94.7862152,18.27231385,3.35,269.14,92.1279,81.413,0.8837,119.3125,68.6665,3.75,5.847,9.387,17.62,21.3225,26.506,52.97,65.17,78.322,119.073,140.635,205.088,226.247,248.8745,259.9084,82.1487,79.9912,99.1319,30.4395,29.9912,37.1677
103_20,24244,721.6517694,113.1618676,3.29,295.29,125.2796,72.5307,0.579,117.85,61.2994,3.78,19.7,38.65,63.52,71.65,77.8,92.01,108.3,130.08,168.63,189.5,204.52,228.74,254.07,285.51,97.5842,90.9334,177.7152,47.8555,39.1316,76.4766
102_08,38998,683.4578561,130.7804943,3.3,266.17,132.4925,69.1452,0.5219,122.8075,61.6032,8.1515,21.13,36.026,62.97,71.1325,78.76,104.002,139.87,168.31,185.082,193.94,203.69,220.901,232.0455,244.9871,98.388,95.3053,143.1011,57.2268,49.859,74.8634
